년월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,공항,도착_출발,정기_부정기,여객_화물,유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
Jan-24,AAR,OZ,아시아나항공,국제,VIE,출발,정기,화물,0,0,0,1078930,585036,0,0
Jan-24,AAR,OZ,아시아나항공,국제,YNJ,도착,정기,여객,3066,11,641,3218,0,3218,61253
Jan-24,AAR,OZ,아시아나항공,국제,YNJ,출발,정기,여객,2707,11,276,0,0,0,40311
Jan-24,AAR,OZ,아시아나항공,국제,YNT,도착,정기,화물,0,0,0,146727,114863,0,0
Jan-24,AAR,OZ,아시아나항공,국제,YNT,도착,부정기,화물,0,0,0,100019,67572,0,0
Jan-24,AAR,OZ,아시아나항공,국제,YNT,출발,정기,화물,0,0,0,68581,27735,0,0
Jan-24,AAR,OZ,아시아나항공,국제,YNT,출발,부정기,화물,0,0,0,57417,9208,0,0
Jan-24,AAR,OZ,아시아나항공,국제,YNZ,도착,정기,여객,570,1,14,0,0,0,10420
Jan-24,AAR,OZ,아시아나항공,국제,YNZ,출발,정기,여객,558,3,4,0,0,0,7687
Jan-24,ABL,BX,에어 부산,국제,BKK,도착,정기,여객,6533,9,2,0,0,0,89785
Jan-24,ABL,BX,에어 부산,국제,BKK,출발,정기,여객,6354,9,214,0,0,0,85515
Jan-24,ABL,BX,에어 부산,국제,CTS,도착,정기,여객,6855,4,0,0,0,0,88129
Jan-24,ABL,BX,에어 부산,국제,CTS,도착,부정기,여객,227,0,0,0,0,0,3099
Jan-24,ABL,BX,에어 부산,국제,CTS,출발,정기,여객,7076,3,0,0,0,0,70266
Jan-24,ABL,BX,에어 부산,국제,CXR,도착,정기,여객,6621,26,0,0,0,0,87198
Jan-24,ABL,BX,에어 부산,국제,CXR,출발,정기,여객,6993,26,0,0,0,0,67668
Jan-24,ABL,BX,에어 부산,국제,FUK,도착,정기,여객,12648,43,0,0,0,0,142074
Jan-24,ABL,BX,에어 부산,국제,FUK,출발,정기,여객,13398,45,1,0,0,0,101364
Jan-24,ABL,BX,에어 부산,국제,KIX,도착,정기,여객,17269,27,1,0,0,0,204169
Jan-24,ABL,BX,에어 부산,국제,KIX,출발,정기,여객,18687,23,14,3020,0,0,160998
Jan-24,ABL,BX,에어 부산,국제,NRT,도착,정기,여객,11568,7,0,0,0,0,134136
Jan-24,ABL,BX,에어 부산,국제,NRT,출발,정기,여객,12435,15,11,0,0,0,121620
Jan-24,ABL,BX,에어 부산,국제,TAG,도착,부정기,여객,6066,18,0,0,0,0,63850
Jan-24,ABL,BX,에어 부산,국제,TAG,출발,부정기,여객,6191,16,0,0,0,0,60414
Jan-24,ABL,BX,에어 부산,국제,VTE,도착,정기,여객,3357,4,0,0,0,0,45810
Jan-24,ABL,BX,에어 부산,국제,VTE,출발,정기,여객,3374,3,4,0,0,0,42985
Jan-24,ACA,AC,캐나다항공,국제,YVR,도착,정기,여객,5091,72,3810,415183,0,1541,241773
Jan-24,ACA,AC,캐나다항공,국제,YVR,출발,정기,여객,5359,48,3668,393770,0,7902,280961
Jan-24,ACA,AC,캐나다항공,국제,YYZ,도착,정기,여객,4159,124,4769,119805,0,1062,247164
Jan-24,ACA,AC,캐나다항공,국제,YYZ,도착,부정기,여객,0,0,0,146,0,0,0
Jan-24,ACA,AC,캐나다항공,국제,YYZ,출발,정기,여객,3277,57,5505,329823,0,10815,280833
Jan-24,ACA,AC,캐나다항공,국제,YYZ,출발,부정기,여객,289,4,5,13930,0,564,9429
Jan-24,AFR,AF,프랑스항공,국제,CDG,도착,정기,여객,8902,27,253,412973,0,5368,176974
Jan-24,AFR,AF,프랑스항공,국제,CDG,출발,정기,여객,9231,25,305,357482,0,11325,190664
Jan-24,AHK,LD,에어홍콩,국제,HKG,도착,정기,화물,0,0,0,1018481,0,0,0
Jan-24,AHK,LD,에어홍콩,국제,HKG,출발,정기,화물,0,0,0,1202893,0,0,0
Jan-24,AIC,AI,인도항공,국제,DEL,도착,정기,여객,3585,17,181,65386,0,0,92786
Jan-24,AIC,AI,인도항공,국제,DEL,출발,정기,여객,3617,21,64,173627,0,7070,94636
Jan-24,AIH,KJ,에어인천,국제,CGO,도착,정기,화물,0,0,0,45396,14712,0,0
Jan-24,AIH,KJ,에어인천,국제,CGO,도착,부정기,화물,0,0,0,99391,36663,0,0
Jan-24,AIH,KJ,에어인천,국제,CGO,출발,정기,화물,0,0,0,23389,3603,0,0
Jan-24,AIH,KJ,에어인천,국제,CGO,출발,부정기,화물,0,0,0,31299,280,0,0
Jan-24,AIH,KJ,에어인천,국제,CKG,도착,부정기,화물,0,0,0,80447,1998,0,0
Jan-24,AIH,KJ,에어인천,국제,CKG,출발,부정기,화물,0,0,0,64432,0,0,0
Jan-24,AIH,KJ,에어인천,국제,CTU,도착,정기,화물,0,0,0,146895,3398,0,0
Jan-24,AIH,KJ,에어인천,국제,CTU,출발,정기,화물,0,0,0,131446,14,0,0
Jan-24,AIH,KJ,에어인천,국제,HAN,도착,정기,화물,0,0,0,364237,9318,0,0
Jan-24,AIH,KJ,에어인천,국제,HAN,출발,정기,화물,0,0,0,387975,0,0,0
Jan-24,AIH,KJ,에어인천,국제,NRT,도착,정기,화물,0,0,0,120818,3319,0,0
Jan-24,AIH,KJ,에어인천,국제,NRT,출발,정기,화물,0,0,0,112271,31114,1907,0
Jan-24,AIH,KJ,에어인천,국제,TAO,도착,정기,화물,0,0,0,435803,207075,0,0
Jan-24,AIH,KJ,에어인천,국제,TAO,출발,정기,화물,0,0,0,211024,2899,0,0
Jan-24,AIH,KJ,에어인천,국제,YNT,도착,정기,화물,0,0,0,482891,0,0,0
Jan-24,AIH,KJ,에어인천,국제,YNT,출발,정기,화물,0,0,0,416231,377,0,0
Jan-24,AJT,M6,아메리제트,국제,GSP,도착,부정기,화물,0,0,0,616,0,0,0
Jan-24,AJT,M6,아메리제트,국제,GSP,출발,부정기,화물,0,0,0,318569,0,0,0
