년도,월,항공사(ICAO),항공사(IATA),항공사명,국제_국내,노선,국가,공항,도착_출발,정기_부정기,여객_화물,운항(편),유임승객(명),무임승객(명),환승객(명),직화물(kg),환적화물(kg),우편물(kg),수하물(kg)
2025,01,ABL,BX,에어 부산,국제,일본,일본,FUK,도착,정기,여객,62,13437,40,0,0,0,0,144808
2025,01,ABL,BX,에어 부산,국제,일본,일본,FUK,출발,정기,여객,62,13909,50,3,0,0,0,106998
2025,01,ABL,BX,에어 부산,국제,일본,일본,KIX,도착,정기,여객,93,18123,28,1,0,0,0,202092
2025,01,ABL,BX,에어 부산,국제,일본,일본,KIX,출발,정기,여객,93,20139,26,19,0,0,0,167903
2025,01,ABL,BX,에어 부산,국제,일본,일본,NRT,도착,정기,여객,62,12051,11,0,0,0,0,137060
2025,01,ABL,BX,에어 부산,국제,일본,일본,NRT,출발,정기,여객,62,13426,8,10,11296,0,0,125317
2025,01,ABL,BX,에어 부산,국제,동남아,라오스,VTE,도착,정기,여객,18,3594,3,18,0,0,0,46862
2025,01,ABL,BX,에어 부산,국제,동남아,라오스,VTE,출발,정기,여객,18,3665,3,19,0,0,0,47659
2025,01,ABL,BX,에어 부산,국제,동남아,베트남,CXR,도착,정기,여객,31,6712,21,0,0,0,0,88867
2025,01,ABL,BX,에어 부산,국제,동남아,베트남,CXR,출발,정기,여객,31,6893,32,29,0,0,0,65409
2025,01,ABL,BX,에어 부산,국제,동남아,태국,BKK,도착,정기,여객,31,6728,9,1,5257,0,0,96216
2025,01,ABL,BX,에어 부산,국제,동남아,태국,BKK,출발,정기,여객,31,6717,10,79,0,0,0,89453
2025,01,ABL,BX,에어 부산,국제,동남아,필리핀,TAG,도착,부정기,여객,31,5847,8,0,0,0,0,61585
2025,01,ABL,BX,에어 부산,국제,동남아,필리핀,TAG,출발,부정기,여객,31,5862,10,0,0,0,0,55917
2025,01,ACA,AC,캐나다항공,국제,미주,캐나다,YVR,도착,정기,여객,31,3863,26,2863,181467,0,1522,170373
2025,01,ACA,AC,캐나다항공,국제,미주,캐나다,YVR,출발,정기,여객,31,6328,21,2513,174073,0,2795,254961
2025,01,ACA,AC,캐나다항공,국제,미주,캐나다,YYZ,도착,정기,여객,29,3904,37,4155,86161,0,1585,216405
2025,01,ACA,AC,캐나다항공,국제,미주,캐나다,YYZ,출발,정기,여객,30,4252,23,4311,183017,0,10831,257355
2025,01,AFR,AF,프랑스항공,국제,유럽,프랑스,CDG,도착,정기,여객,29,7013,24,176,232081,0,7380,134670
2025,01,AFR,AF,프랑스항공,국제,유럽,프랑스,CDG,출발,정기,여객,29,7886,9,80,295944,0,14545,157333
2025,01,AHK,LD,에어홍콩,국제,동북아,홍콩,HKG,도착,정기,화물,25,0,0,0,917191,23504,0,0
2025,01,AHK,LD,에어홍콩,국제,동북아,홍콩,HKG,출발,정기,화물,25,0,0,0,1027195,0,0,0
2025,01,AIC,AI,인도항공,국제,기타,인도,DEL,도착,정기,여객,17,3534,21,171,77174,0,87,97145
2025,01,AIC,AI,인도항공,국제,기타,인도,DEL,출발,정기,여객,17,4090,27,14,160337,0,6806,114540
